None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File,projectID,projectID,projectID,projectID
1199,Adamselv,Adamselv,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,50.0,60.0,,,,,,,70.3833333,,,,26.6333333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[247],50WP00000000002V,,
1200,Adria,Adria,,,Natural Gas,Natural Gas,,,,,,,CHP,,,,Italy,Italy,,,8.0,15.0,,,,,,,45.0563889,,,,12.0577778,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[52201],26WIMPI-S05CPRT5,,
1201,Viddalba,Aggius bortigiadas viddalba,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,32.2,29.0,,,,,,,40.916968,,,,8.894517,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,"[394, 48115]",26WIMPI-S20IVVP0,,
1202,Agordo,Agordo,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,24.0,24.0,,,,,,,46.2855556,,,,12.0375,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[65891],26WIMPI-S05AGRD9,,
1203,Agri,Agri,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,39.0,39.0,,,,,,,40.289012,,,,16.139079,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[414],26WIMPI-S17AGRIH,,
1204,Aguayo,Aguayo,,,Hydro,Hydro,,,,,,,PP,PP,,,Spain,Spain,,,339.2,360.0,,,,,,,43.053833,,,,-4.025495,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[446],18WAGUB-12345-0T,,
1205,Ala,Ala,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,38.0,38.0,,,,,,,45.758995,,,,11.000182,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[766],26WIMPI-S04ALAAF,,
1206,Alanno,Alanno,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,22.0,22.0,,,,,,,42.295438,,,,13.971105,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[61953],26WIMPI-S13ALNNN,,
1207,Albano,Albano,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,15.0,14.0,,,,,,,46.131588,,,,9.280837,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[812],26WIMPI-S03ALBAI,,
1208,Alia sclafani bagni,Alia sclafani,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,32.81,25.0,,,,,,,37.821749,,,,13.854759,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,"[962, 40263]",26WIMPI-S19ASLCO,,
1209,Alta nurra,Nuova alta nurra,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,12.25,12.0,,,,,,,40.7272222,,,,8.5602778,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[1120],26WIMPI-S20ALTNG,,
1210,Amdal,Amdal,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,21.0,23.0,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[1332],50WP000000008597,,
1211,Amela,Amela,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,33.1,40.0,,,,,,,62.0752778,,,,5.9175,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[1334],50WP00000000860M,,
1212,Amli gjov,Amli,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,18.0,28.0,,,,,,,58.45,,,,8.3333333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[1370],50WP00000000861K,,
1213,Ana sira,Ana sira,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,150.0,182.9,,,,,,,58.3,,,,6.4333333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[1432],50WP00000000863G,,
1214,Andonno,Andonno c.,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,65.0,55.0,,,,,,,44.314628,,,,7.482432,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[1509],26WIMPI-S01ACNDO,,
1215,Ardenno,Ardenno,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,56.7,56.0,,,,,,,46.164292,,,,9.644944,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[1949],26WIMYI-S03ARDNB,,
1216,Arlifoss,Arlifoss,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,23.4,27.0,,,,,,,59.55936,,,,9.25853,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2054],50WP00000000865C,,
1217,Aroy,Aroy,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,92.5,107.5,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2103],50WP000000008678,,
1218,Arsie,Arsie',,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,34.0,34.0,,,,,,,45.983007,,,,11.758295,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2139],26WIMPI-S05ARSIQ,,
1219,Ascoli porta romana,Ascoli porta romana,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,14.0,16.0,,,,,,,42.8548263636,,,,13.5748958588,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2253],26WIMPI-S11PRRTN,,
1220,Ascoli satriano,Ascoli satriano,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,61.8,61.0,,,,,,,41.206127,,,,15.561455,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[60811],26WIMPI-S16ASSL3,,
1221,Asebotn,Asebotn,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,15.5,17.0,,,,,,,60.1,,,,6.6333333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2258],50WP000000008694,,
1222,Askerudfoss,Askerudfoss,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,15.96,15.0,,,,,,,60.1166667,,,,10.2666667,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2329],50WP00000000014O,,
1223,Asmulfoss,Asmulfoss,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,12.1,13.5,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2334],50WP000000008759,,
1224,Augusta,Augusta c.le,,,Oil,Oil,,,,,,,PP,,,,Italy,Italy,,,140.0,144.0,,,,,,,37.208333,,,,15.177778,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2532],26WIMPI-S19ACGSY,,
1225,Aunfoss,Aunfoss,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,28.0,36.0,,,,,,,64.6166667,,,,12.5666667,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2554],50WP00000000016K,,
1226,Aura,Aura,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,290.4,352.1,,,,,,,62.67545,,,,8.55153,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2558],50WP00000000017I,,
1227,Aurland,Aurland,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,1125.0,904.2,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,"[2568, 2567, 2569]",50WP00000000020T,,
1228,Avella,Avella,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,4.0,5.2,,,,,,,60.84001,,,,10.0618,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[66243],50WP00000000026H,,
1229,Aventino,Aventino,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,8.2,8.0,,,,,,,42.004033,,,,14.156813,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[57797],26WIMPI-S13A1VN5,,
1230,Avigliano,Aviglaino,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,13.2,13.0,,,,,,,40.7329133383,,,,15.7200354338,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2637],26WIMPI-S17IAVPC,,
1231,Avise,Avise,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,146.7,127.0,,,,,,,45.708858,,,,7.139898,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2644],26WIMPI-S02AVSIS,,
1232,Bagn,Bagn,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,64.0,84.6,,,,,,,60.82249,,,,9.55207,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2851],50WP00000000027F,,
1233,Bagnore,Bagnore,,,Geothermal,Geothermal,,,,,,,CHP,PP,,,Italy,Italy,,,20.0,19.0,,,,,,,42.8312895357,,,,11.5847396851,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[2858],26WIMPI-S09B3GN8,,
1234,Balsorano,Balsorano,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,15.8,15.0,,,,,,,41.809824,,,,13.559802,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[65528],26WIMPI-S13BLSRW,,
1235,Barca,Barca cle,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,9.48,8.0,,,,,,,40.2333333,,,,15.2333333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[3298],26WIMPI-S19BCRCS,,
1236,Barcis,Barcis,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,14.69,25.0,,,,,,,46.1597222,,,,12.6594444,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[3314],26WIMPI-S06BRCS6,,
1237,Bardonecchia,Bardonecchia,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,22.0,23.0,,,,,,,45.078338,,,,6.703201,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[3320],26WIMPI-S01BRDN6,,
1238,Bardonetto,Bardonetto,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,14.4,18.0,,,,,,,45.422855,,,,7.596213,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[3321],26WIMPI-S01BRDTV,,
1239,Bargi psp,Bargi,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,330.0,281.0,,,,,,,44.170457,,,,11.088812,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[3332],26WIMPI-S08BCRGX,,
1240,Barletta,Barletta mw,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,10.0,10.0,,,,,,,41.084328,,,,16.078368,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[65003],26WIMPI-S16BMRLP,,
1241,Baschi,Baschi,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,106.2,80.0,,,,,,,42.672832,,,,12.21796,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[3462],26WIMPITEVERE-1I,,
1242,Bastusel,Bastusel,,,Hydro,Hydro,,,,,,,PP,PP,,,Sweden,Sweden,,,114.0,100.0,,,,,,,65.35,,,,18.6166667,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[3521],46WPU0000000038K,,
1243,Batsvann,Batsvann,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,30.0,38.0,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[3568],50WP00000000096X,,
1244,Battigio,Battiggio,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,22.5,20.0,,,,,,,45.983974,,,,8.146114,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[3580],26WIMPI-S01BTTG1,,
1245,Bergeforsen,Bergeforsen,,,Hydro,Hydro,,,,,,,PP,PP,,,Sweden,Sweden,,,155.0,160.0,,,,,,,62.5333333,,,,17.3833333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4114],46WPU0000000051S,,
1246,Bergerfoss,Bergerfoss,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,3.3,2.8,,,,,,,60.24143,,,,10.38503,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4126],50WP000000000398,,
1247,Bergsbotn,Bergsbotn,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Norway,Norway,,,8.0,10.0,,,,,,,69.4333333,,,,17.4666667,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4138],50WP00000000040N,,
1248,Berlifoss,Berlifoss,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,9.0,12.5,,,,,,,59.1666667,,,,8.5,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4159],50WP00000000042J,,
1249,Bessakerfjellet,Bessakerfjellet,,,Wind,Wind,,,,,,,PP,PP,,,Norway,Norway,,,57.5,57.5,,,,,,,63.35,,,,9.2666667,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4243],50WP00000000044F,,
1250,Bialystok,Ec białystok,,,Hard Coal,Coal,,,,,,,CHP,,,,Poland,Poland,,,155.0,156.6,,,,,,,53.148418,,,,23.17008,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4481],19W000000000033F,,
1251,Bingfoss,Bingsfoss,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Norway,Norway,,,32.4,36.0,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4651],50WP00000000045D,,
1252,Bisaccia ivpc,Bisaccia,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,23.6,23.0,,,,,,,41.012121,,,,15.374753,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[65836],26WIMPI-S15B2SCF,,
1253,Bjelland,Bjelland,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,53.0,70.0,,,,,,,58.3833333,,,,7.5166667,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4798],50WP000000000479,,
1254,Bjerka,Bjerka,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,20.0,29.1,,,,,,,66.15,,,,13.8833333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4799],50WP000000000487,,
1255,Bjolvo,Bjolvo,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,153.2,116.7,,,,,,,60.39299,,,,5.32415,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,"[4803, 4804]",50WP00000000052G,,
1256,Bjordalen,Bjorndalen,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,4.3,5.0,,,,,,,62.2029,,,,6.12722,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4805],50WP000000000576,,
1257,Bjorgum,Bjorgum,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Norway,Norway,,,5.687,5.5,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4806],50WP00000000055A,,
1258,Bjorkasen,Bjorkasen,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,3.71,4.6,,,,,,,68.3166667,,,,16.7833333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4807],50WP000000000568,,
1259,Bjorndalselva,Bjorndalselva,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,5.3,5.7,,,,,,,61.5166667,,,,6.25,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[58806],50WP000000000584,,
1260,Blachownia,Blachownia,,,Hard Coal,Coal,,,,,,,CHP,,,,Poland,Poland,,,171.0,158.0,,,,,,,50.780149,,,,18.96389,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4825],19W000000000034D,,
1261,Boffalora magenta,Boffalora,,,Natural Gas,Natural Gas,,,,,,,PP,,,,Italy,Italy,,,101.0,88.0,,,,,,,45.465833,,,,8.846389,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,"[26581, 26580]",26WIMPI-S03SBNFX,,
1262,Boffetto,Boffetto,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,10.4,10.0,,,,,,,46.159595,,,,9.934951,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[65576],26WIMPI-S03BFFTO,,
1263,Bogna,Bogna,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,58.8,60.0,,,,,,,64.3833333,,,,11.4,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5103],50WP000000000665,,
1264,Bolarque,Bolarque,,,Hydro,Hydro,,,,,,,PP,PP,,,Spain,Spain,,,236.0,215.0,,,,,,,40.419023,,,,-2.922556,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5153],18WUFBG-12345-0E,,
1265,Bolognano,Bolognano,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,30.6,30.0,,,,,,,42.218136,,,,13.960105,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[61954],26WIMPI-S13BLGN2,,
1266,Bordogna,Bordogna,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,70.68,48.0,,,,,,,45.951788,,,,9.700749,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5285],26WIMPI-S03BRDG8,,
1267,Bratsberg,Bratsberg,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,124.0,140.0,,,,,,,63.35,,,,10.5,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5635],50WP000000000754,,
1268,Brattingfoss,Brattingfoss,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,10.0,14.0,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5640],50WP000000000762,,
1269,Brattset,Brattset,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,80.0,92.0,,,,,,,62.8,,,,9.9833333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5645],50WP000000000770,,
1270,Braulio,Braulio,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,18.4,18.0,,,,,,,46.468407,,,,10.372055,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5646],26WIMPI-S03ABMRS,,
1271,Bressanone,Bressanone,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,87.0,89.0,,,,,,,46.7150325123,,,,11.6559791565,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[65821],26WIMPI-S04BRSS7,,
1272,Brokke,Brokke,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,333.8,443.3,,,,,,,58.65,,,,8.9666667,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5880],50WP000000000827,,
1273,Brossaco,Brossasco,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,36.2,35.0,,,,,,,44.568632,,,,7.361724,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[65685],26WIMPI-S01BRSSP,,
1274,Brulandsfossen,Brulandsfoss,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,12.0,15.2,,,,,,,61.45217,,,,5.85717,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5988],50WP000000000843,,
1275,Brunico,Brunico,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,42.0,40.0,,,,,,,46.79343,,,,11.983386,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5994],26WIMPI-S04BMRN3,,
1276,Buglia,Buglia,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,20.0,20.0,,,,,,,41.103524,,,,15.461754,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[58104],26WIMPI-B16CRST6,,
1277,Bussento,Bussento,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,59.96,60.0,,,,,,,40.139505,,,,15.554868,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6407],26WIMPI-S15BSSN0,,
1278,Bussolengo,Bussolengo,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,48.6,47.0,,,,,,,45.469186,,,,10.850584,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6410],26WIMPI-S05BMSSL,,
1279,Byrte,Byrte,,,Hydro,Hydro,,,,,,,PP,PP,,,Norway,Norway,,,20.0,25.0,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6483],50WP000000000908,,
1280,Cadarese,Cadarese,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,70.0,68.0,,,,,,,46.262983,,,,8.327813,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6577],26WIMPI-S01CDRS5,,
1281,Cadau,Cadau,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,21.0,21.0,,,,,,,39.2883333,,,,8.9583333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6578],26WIMPI-S20CD1A0,,
1282,Calice,Calice,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,23.2,23.0,,,,,,,46.1165021691,,,,8.29313278198,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6712],26WIMPI-S01CLCAH,,
1283,Callari,Callari,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,36.0,36.0,,,,,,,40.902119,,,,15.430556,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[59194],26WIMPI-S19CLLA9,,
1284,Calore,Calore,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,8.8,9.0,,,,,,,41.1833333,,,,14.4666667,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6735],26WIMPI-S15CLRAF,,
1285,Campliccioli,Campliccioli,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,9.46,8.0,,,,,,,46.060376,,,,8.114612,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[65686],26WIMPI-S01CMPLQ,,
1286,Campo moro,Campo moro,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,36.5,36.0,,,,,,,46.269297,,,,9.869247,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6864],26WIMPI-S03CMMPF,,
1287,Campo sondrio,Campo,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,37.36,38.0,,,,,,,46.221592,,,,9.449839,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6857],26WIMPI-S03SCNDX,,
1288,Camporeale,Camporeale,,,Wind,Wind,,,,,,,PP,PP,,,Italy,Italy,,,37.4,20.0,,,,,,,37.897145,,,,13.093842,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[51686],26WIMPI-C19PCRTF,,
1289,Caneva,Caneva,,,Hydro,Hydro,,,,Run-of-river,,,PP,PP,,,Italy,Italy,,,36.0,36.0,,,,,,,45.9688889,,,,12.4497222,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6941],26WIMPI-S06CNVAX,,
1290,Canterno,Canterno,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,12.0,11.0,,,,,,,43.475754,,,,12.628657,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6979],26WIMPI-S12CNTRM,,
1291,Caoria,Caoria,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,37.98,39.0,,,,,,,46.2,,,,11.6833333,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[65920],26WIMPI-S04CRAOR,,
1292,Capriati lete sava,Capriati,,,Hydro,Hydro,,,,,,,PP,PP,,,Italy,Italy,,,115.0,113.0,,,,,,,41.468622,,,,14.14542,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[7059],26WIMPI-S15CPRTZ,,
